,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.88403803,0.8893783,0.8850794,0.8840848,142.89934,216.0,3.7625835,9,session_E,22,2,001-2014,ACM+MDM(Grid)
1,0.6711416,0.6992711,0.6711111,0.66971785,142.10025,216.0,3.565202,9,session_T,22,2,001-2014,ACM+MDM(Grid)
2,0.902537,0.91078496,0.904127,0.9028476,0.54852647,216.0,0.012616011,9,session_E,22,2,001-2014,Cov+EN
3,0.7035941,0.718855,0.70349205,0.7017476,0.544251,216.0,0.01417341,9,session_T,22,2,001-2014,Cov+EN
4,0.8656448,0.8805773,0.86761904,0.86713743,6.007864,216.0,0.14024466,9,session_E,22,2,001-2014,CSP+LDA
5,0.67135304,0.68415546,0.67206347,0.6724542,4.293796,216.0,0.10744237,9,session_T,22,2,001-2014,CSP+LDA
6,0.94439745,0.94610196,0.9450794,0.9444481,819.0926,216.0,24.523865,9,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
7,0.7451374,0.7465171,0.7447619,0.74419343,776.1756,216.0,19.643183,9,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
8,0.9024313,0.90682775,0.9034921,0.90217954,0.31154767,216.0,0.0073809177,9,session_E,22,2,001-2014,FgMDM
9,0.6991543,0.70168585,0.6968254,0.69231296,0.23253712,216.0,0.0056176973,9,session_T,22,2,001-2014,FgMDM
10,0.8516913,0.86014605,0.85238093,0.85063934,0.13383088,216.0,0.0028151015,9,session_E,22,2,001-2014,MDM
11,0.63890064,0.66864145,0.6390476,0.6379146,0.14153752,216.0,0.002793147,9,session_T,22,2,001-2014,MDM
12,0.8934461,0.90256107,0.89492065,0.8940928,0.5103747,216.0,0.011432535,9,session_E,22,2,001-2014,TANG+SVM
13,0.7128964,0.7196669,0.7120635,0.7101286,0.5011388,216.0,0.011062187,9,session_T,22,2,001-2014,TANG+SVM
