,Unnamed: 0,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
2,2,0.81333333,0.83974874,0.81333333,0.8134263,53.114624,150.0,1.015587,3,session_2,14,3,Zhou 2016,ACM+MDM(Grid)
3,3,0.88666666,0.8927946,0.88666666,0.8861391,0.36751086,150.0,0.005613239,3,session_0,14,3,Zhou 2016,Cov+EN
4,4,0.8675269,0.872151,0.8666667,0.86552364,0.33399177,151.0,0.0051873405,3,session_1,14,3,Zhou 2016,Cov+EN
5,5,0.91333336,0.922467,0.91333336,0.913983,0.25311866,150.0,0.0039940123,3,session_2,14,3,Zhou 2016,Cov+EN
6,6,0.88,0.8963636,0.88,0.87869537,2.2178407,150.0,0.03263155,3,session_0,14,3,Zhou 2016,CSP+LDA
7,7,0.8475269,0.8611531,0.8466667,0.84637415,1.9154059,151.0,0.027999105,3,session_1,14,3,Zhou 2016,CSP+LDA
8,8,0.9,0.91334,0.9,0.89951676,1.7106817,150.0,0.025824867,3,session_2,14,3,Zhou 2016,CSP+LDA
9,9,0.8933333,0.9073665,0.8933333,0.891935,289.05432,150.0,5.672229,3,session_0,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
10,10,0.8212903,0.82882637,0.8212121,0.8199309,292.95978,151.0,5.7536216,3,session_1,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
11,11,0.88666666,0.8913805,0.88666666,0.8870388,289.85284,150.0,5.693797,3,session_2,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
12,12,0.88,0.89085084,0.88,0.87920314,0.15602174,150.0,0.0021035469,3,session_0,14,3,Zhou 2016,FgMDM
13,13,0.82107526,0.8346587,0.82060605,0.8210718,0.15674515,151.0,0.0021402447,3,session_1,14,3,Zhou 2016,FgMDM
14,14,0.92,0.93167573,0.92,0.9201287,0.15867892,150.0,0.0022100778,3,session_2,14,3,Zhou 2016,FgMDM
15,15,0.7733333,0.7893819,0.7733333,0.77267486,0.13390669,150.0,0.0018172024,3,session_0,14,3,Zhou 2016,MDM
16,16,0.6227957,0.65035224,0.6218182,0.62150085,0.13503718,151.0,0.0018481036,3,session_1,14,3,Zhou 2016,MDM
17,17,0.8,0.81946903,0.8,0.80091023,0.13401213,150.0,0.001857224,3,session_2,14,3,Zhou 2016,MDM
18,18,0.9066667,0.9145882,0.9066667,0.90701556,0.3419825,150.0,0.0052708676,3,session_0,14,3,Zhou 2016,TANG+SVM
19,19,0.82064515,0.82997113,0.82060605,0.8190373,0.31379715,151.0,0.0047857603,3,session_1,14,3,Zhou 2016,TANG+SVM
20,20,0.8933333,0.90703183,0.8933333,0.8939023,0.2839068,150.0,0.0046179136,3,session_2,14,3,Zhou 2016,TANG+SVM
0,0,0.7204762,0.7250903,0.720202,0.71414787,84.940414,179.0,1.9065157,1,session_0,14,3,Zhou 2016,ACM+MDM(MDOP)
1,1,0.74,0.76373976,0.74,0.73503166,67.151,150.0,1.5023425,1,session_1,14,3,Zhou 2016,ACM+MDM(MDOP)
2,2,0.76,0.7671765,0.76,0.76005954,66.69841,150.0,1.4992331,1,session_2,14,3,Zhou 2016,ACM+MDM(MDOP)
3,3,0.7707937,0.7818733,0.7707071,0.7711612,80.100075,179.0,1.6679077,1,session_0,14,3,Zhou 2016,ACM+TGSP+SVM(MDOP)
4,4,0.79333335,0.8183498,0.79333335,0.7907216,72.09528,150.0,1.5046955,1,session_1,14,3,Zhou 2016,ACM+TGSP+SVM(MDOP)
5,5,0.8333333,0.85060996,0.8333333,0.83117986,64.617874,150.0,1.3953226,1,session_2,14,3,Zhou 2016,ACM+TGSP+SVM(MDOP)
0,0,0.86,0.8695334,0.86,0.8600418,669.041,150.0,26.842392,2,session_0,14,3,Zhou 2016,ACM+MDM(MDOP)
1,1,0.8074074,0.8197811,0.8074074,0.79696363,602.5508,135.0,37.14337,2,session_1,14,3,Zhou 2016,ACM+MDM(MDOP)
2,2,0.86,0.8718398,0.86,0.86042863,671.96326,150.0,40.563194,2,session_2,14,3,Zhou 2016,ACM+MDM(MDOP)
3,3,0.84,0.86108893,0.84,0.8403248,670.6431,150.0,38.40451,2,session_0,14,3,Zhou 2016,ACM+TGSP+SVM(MDOP)
4,4,0.76296294,0.808184,0.76296294,0.7468355,602.49927,135.0,26.888645,2,session_1,14,3,Zhou 2016,ACM+TGSP+SVM(MDOP)
5,5,0.84,0.86618567,0.84,0.8383509,670.9205,150.0,29.217093,2,session_2,14,3,Zhou 2016,ACM+TGSP+SVM(MDOP)
0,0,0.81333333,0.8304293,0.81333333,0.8130452,668.56726,150.0,42.41092,3,session_0,14,3,Zhou 2016,ACM+MDM(MDOP)
1,1,0.71548384,0.7301593,0.7145454,0.71658885,674.0169,151.0,36.096462,3,session_1,14,3,Zhou 2016,ACM+MDM(MDOP)
2,2,0.82666665,0.84082067,0.82666665,0.8259399,670.0968,150.0,35.01035,3,session_2,14,3,Zhou 2016,ACM+MDM(MDOP)
3,3,0.86,0.88705766,0.86,0.85893613,671.11285,150.0,34.35536,3,session_0,14,3,Zhou 2016,ACM+TGSP+SVM(MDOP)
4,4,0.8148387,0.8272102,0.81333333,0.8112619,674.5686,151.0,35.69198,3,session_1,14,3,Zhou 2016,ACM+TGSP+SVM(MDOP)
5,5,0.88,0.8929798,0.88,0.87995756,668.66504,150.0,35.363544,3,session_2,14,3,Zhou 2016,ACM+TGSP+SVM(MDOP)
0,0,0.838254,0.8506484,0.83737373,0.83525366,39.608215,179.0,0.80644345,1,session_0,14,3,Zhou 2016,EEGNet_8_2
1,1,0.87333333,0.88371277,0.87333333,0.8733106,35.35858,150.0,0.72051007,1,session_1,14,3,Zhou 2016,EEGNet_8_2
2,2,0.8666667,0.87576497,0.8666667,0.8636148,35.94025,150.0,0.6494961,1,session_2,14,3,Zhou 2016,EEGNet_8_2
3,3,0.60825396,0.6196584,0.60555553,0.54862905,26.77471,179.0,1.267731,1,session_0,14,3,Zhou 2016,DeepConvNet
4,4,0.58,0.4895752,0.58,0.48595563,30.524685,150.0,0.6396143,1,session_1,14,3,Zhou 2016,DeepConvNet
5,5,0.5733333,0.39201924,0.5733333,0.45852888,19.558136,150.0,0.36355764,1,session_2,14,3,Zhou 2016,DeepConvNet
6,6,0.8428571,0.84992564,0.8424242,0.8426317,88.52739,179.0,1.9070084,1,session_0,14,3,Zhou 2016,ShallowConvNet
7,7,0.86,0.87726754,0.86,0.86057514,50.05555,150.0,1.0423582,1,session_1,14,3,Zhou 2016,ShallowConvNet
8,8,0.8933333,0.9155076,0.8933333,0.8929864,78.03536,150.0,1.5812757,1,session_2,14,3,Zhou 2016,ShallowConvNet
0,0,0.74666667,0.7619595,0.74666667,0.74907494,38.76948,150.0,0.77867836,2,session_0,14,3,Zhou 2016,EEGNet_8_2
1,1,0.8074074,0.8251515,0.8074074,0.8040729,36.724167,135.0,0.7530976,2,session_1,14,3,Zhou 2016,EEGNet_8_2
2,2,0.86,0.8702383,0.86,0.8599589,39.839184,150.0,0.82745063,2,session_2,14,3,Zhou 2016,EEGNet_8_2
3,3,0.56666666,0.7543212,0.56666666,0.5251676,27.400043,150.0,0.5846267,2,session_0,14,3,Zhou 2016,DeepConvNet
4,4,0.6,0.5070973,0.6,0.50190467,21.680786,135.0,0.4544506,2,session_1,14,3,Zhou 2016,DeepConvNet
5,5,0.5933333,0.4657587,0.5933333,0.478987,22.625427,150.0,0.46083322,2,session_2,14,3,Zhou 2016,DeepConvNet
6,6,0.7733333,0.79579955,0.7733333,0.77291745,55.53745,150.0,1.2074453,2,session_0,14,3,Zhou 2016,ShallowConvNet
7,7,0.8148148,0.84768516,0.8148148,0.80668706,30.026237,135.0,0.6195795,2,session_1,14,3,Zhou 2016,ShallowConvNet
8,8,0.87333333,0.8861881,0.87333333,0.8740949,44.546055,150.0,0.9343156,2,session_2,14,3,Zhou 2016,ShallowConvNet
0,0,0.88666666,0.8969619,0.88666666,0.8860212,72.63327,150.0,0.5257996,3,session_0,14,3,Zhou 2016,EEGNet_8_2
1,1,0.84731185,0.86113405,0.8466667,0.8444422,74.824356,151.0,0.5091726,3,session_1,14,3,Zhou 2016,EEGNet_8_2
2,2,0.8333333,0.8470204,0.8333333,0.8299857,53.480816,150.0,0.36336762,3,session_2,14,3,Zhou 2016,EEGNet_8_2
3,3,0.52,0.5482579,0.52,0.42194512,37.630352,150.0,0.316605,3,session_0,14,3,Zhou 2016,DeepConvNet
4,4,0.4907527,0.51867884,0.49272728,0.4131138,54.19564,151.0,0.39894265,3,session_1,14,3,Zhou 2016,DeepConvNet
5,5,0.43333334,0.5243289,0.43333334,0.32584333,34.41011,150.0,0.2508843,3,session_2,14,3,Zhou 2016,DeepConvNet
6,6,0.91333336,0.91872054,0.91333336,0.9130194,129.91125,150.0,1.1754217,3,session_0,14,3,Zhou 2016,ShallowConvNet
7,7,0.8341935,0.8435716,0.83454543,0.8329692,55.563725,151.0,0.40438357,3,session_1,14,3,Zhou 2016,ShallowConvNet
8,8,0.8933333,0.90065914,0.8933333,0.89232254,97.07152,150.0,0.7092391,3,session_2,14,3,Zhou 2016,ShallowConvNet
