,Unnamed: 0,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
9,9,0.8952,0.77926177,0.73,0.71754366,271.04462,190.0,1.8137845,2,session_0,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
10,10,0.7945679,0.7922078,0.64444447,0.5929904,541.0352,200.0,3.5884218,2,session_1,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
11,11,0.9352,0.7964427,0.71,0.6871966,790.2808,190.0,4.9922495,2,session_2,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
12,12,0.8352,0.75499797,0.75,0.748769,0.3322649,190.0,0.0021184257,2,session_0,14,3,Zhou 2016,FgMDM
13,13,0.71358025,0.6388889,0.5888889,0.5482296,0.61649394,200.0,0.0039203255,2,session_1,14,3,Zhou 2016,FgMDM
14,14,0.8916,0.7604167,0.54,0.41653982,0.9233346,190.0,0.005846479,2,session_2,14,3,Zhou 2016,FgMDM
15,15,0.8796,0.8333333,0.78,0.7708333,0.2898357,190.0,0.0017731189,2,session_0,14,3,Zhou 2016,MDM
16,16,0.8345679,0.7337343,0.7111111,0.70394737,0.55575776,200.0,0.003287359,2,session_1,14,3,Zhou 2016,MDM
17,17,0.926,0.79761904,0.66,0.61555856,0.8241968,190.0,0.0047962205,2,session_2,14,3,Zhou 2016,MDM
18,18,0.8804,0.8038194,0.78,0.7756018,0.60008645,190.0,0.0034275763,2,session_0,14,3,Zhou 2016,TANG+SVM
19,19,0.7604938,0.65040106,0.6111111,0.5839387,1.1856778,200.0,0.0067145512,2,session_1,14,3,Zhou 2016,TANG+SVM
20,20,0.9008,0.7491694,0.62,0.5634191,1.7751958,190.0,0.01000132,2,session_2,14,3,Zhou 2016,TANG+SVM
0,0,0.918,0.8713368,0.87,0.8698829,78.931786,200.0,0.30646795,3,session_0,14,3,Zhou 2016,ACM+MDM(Grid)
1,1,0.9728,0.8958333,0.88,0.8787879,158.37708,200.0,0.6142493,3,session_1,14,3,Zhou 2016,ACM+MDM(Grid)
2,2,0.9536,0.9315536,0.93,0.92993695,240.70406,200.0,0.931569,3,session_2,14,3,Zhou 2016,ACM+MDM(Grid)
3,3,0.9908,0.9315536,0.93,0.92993695,0.560972,200.0,0.0016443508,3,session_0,14,3,Zhou 2016,Cov+EN
4,4,0.9704,0.8939394,0.89,0.8897243,1.2554021,200.0,0.0036777318,3,session_1,14,3,Zhou 2016,Cov+EN
5,5,0.9872,0.94283414,0.94,0.93990386,1.8641369,200.0,0.0054831672,3,session_2,14,3,Zhou 2016,Cov+EN
6,6,0.984,0.92,0.92,0.92,2.2035036,200.0,0.007086375,3,session_0,14,3,Zhou 2016,CSP+LDA
7,7,0.9872,0.9407051,0.94,0.939976,2.6511598,200.0,0.008341014,3,session_1,14,3,Zhou 2016,CSP+LDA
8,8,0.9928,0.93434346,0.93,0.9298246,3.0973642,200.0,0.009611338,3,session_2,14,3,Zhou 2016,CSP+LDA
9,9,0.9856,0.9181967,0.91,0.9095568,493.33804,200.0,1.9406775,3,session_0,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
10,10,0.9464,0.8183362,0.8,0.7970779,992.02246,200.0,3.9052248,3,session_1,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
11,11,0.9788,0.9301721,0.93,0.929993,1501.6891,200.0,5.9044886,3,session_2,14,3,Zhou 2016,ACM+TGSP+SVM(Grid)
12,12,0.9728,0.9114813,0.91,0.9099189,0.31586337,200.0,0.0010665851,3,session_0,14,3,Zhou 2016,FgMDM
