,dataset,index,pipe1,pipe2,p,smd,nsub
24,Zhou 2016,24,ACM+MDM(Grid),CSP+LDA,0.375,0.3099682397646146,3
25,Zhou 2016,25,ACM+TGSP+SVM(Grid),CSP+LDA,0.375,0.2891512249726171,3
26,Zhou 2016,26,CSP+LDA,CSP+LDA,0.125,0.0,3
27,Zhou 2016,27,Cov+EN,CSP+LDA,0.25,0.5507351014428323,3
28,Zhou 2016,28,DeepConvNet,CSP+LDA,0.5,0.4101791396682827,3
29,Zhou 2016,29,EEGNet_8_2,CSP+LDA,0.25,0.8063336644349555,3
30,Zhou 2016,30,FgMDM,CSP+LDA,0.875,-1.6230513121598664,3
31,Zhou 2016,31,MDM,CSP+LDA,0.625,-0.1332184737869905,3
32,Zhou 2016,32,ACM+MDM(MDOP),CSP+LDA,0.375,0.31824907122881396,3
33,Zhou 2016,33,ACM+TGSP+SVM(MDOP),CSP+LDA,0.25,0.588807381422697,3
34,Zhou 2016,34,ShallowConvNet,CSP+LDA,0.25,0.6087486450707483,3
35,Zhou 2016,35,TANG+SVM,CSP+LDA,0.875,-0.6991213172024972,3
36,Zhou 2016,36,ACM+MDM(Grid),Cov+EN,0.375,0.24963913282792716,3
37,Zhou 2016,37,ACM+TGSP+SVM(Grid),Cov+EN,0.5,0.08617912970494271,3
38,Zhou 2016,38,CSP+LDA,Cov+EN,0.875,-0.5507351014428323,3
39,Zhou 2016,39,Cov+EN,Cov+EN,0.125,0.0,3
40,Zhou 2016,40,DeepConvNet,Cov+EN,0.5,0.3412500508849173,3
41,Zhou 2016,41,EEGNet_8_2,Cov+EN,0.25,0.8933962398363576,3
42,Zhou 2016,42,FgMDM,Cov+EN,0.875,-1.5081993651488836,3
43,Zhou 2016,43,MDM,Cov+EN,0.75,-0.35012970399864285,3
44,Zhou 2016,44,ACM+MDM(MDOP),Cov+EN,0.375,0.24246465006770507,3
45,Zhou 2016,45,ACM+TGSP+SVM(MDOP),Cov+EN,0.25,0.5692529808966371,3
46,Zhou 2016,46,ShallowConvNet,Cov+EN,0.375,0.5667278269819134,3
47,Zhou 2016,47,TANG+SVM,Cov+EN,0.875,-2.0983428930629553,3
48,Zhou 2016,48,ACM+MDM(Grid),DeepConvNet,0.625,-0.04418209601333664,3
49,Zhou 2016,49,ACM+TGSP+SVM(Grid),DeepConvNet,0.75,-0.3442049603138039,3
50,Zhou 2016,50,CSP+LDA,DeepConvNet,0.625,-0.4101791396682827,3
51,Zhou 2016,51,Cov+EN,DeepConvNet,0.625,-0.3412500508849173,3
52,Zhou 2016,52,DeepConvNet,DeepConvNet,0.125,0.0,3
53,Zhou 2016,53,EEGNet_8_2,DeepConvNet,0.5,0.3950961142489616,3
54,Zhou 2016,54,FgMDM,DeepConvNet,0.875,-1.1590653001644107,3
55,Zhou 2016,55,MDM,DeepConvNet,0.875,-0.5342566112816141,3
56,Zhou 2016,56,ACM+MDM(MDOP),DeepConvNet,0.625,-0.0859364394767706,3
57,Zhou 2016,57,ACM+TGSP+SVM(MDOP),DeepConvNet,0.75,-0.07794293225640346,3
58,Zhou 2016,58,ShallowConvNet,DeepConvNet,0.25,1.0831185812670163,3
59,Zhou 2016,59,TANG+SVM,DeepConvNet,0.875,-0.8920480500193252,3
60,Zhou 2016,60,ACM+MDM(Grid),EEGNet_8_2,0.875,-0.632736081215476,3
61,Zhou 2016,61,ACM+TGSP+SVM(Grid),EEGNet_8_2,0.875,-1.4894806781107284,3
62,Zhou 2016,62,CSP+LDA,EEGNet_8_2,0.875,-0.8063336644349555,3
63,Zhou 2016,63,Cov+EN,EEGNet_8_2,0.875,-0.8933962398363576,3
64,Zhou 2016,64,DeepConvNet,EEGNet_8_2,0.625,-0.3950961142489616,3
65,Zhou 2016,65,EEGNet_8_2,EEGNet_8_2,0.125,0.0,3
66,Zhou 2016,66,FgMDM,EEGNet_8_2,0.875,-1.280324953343455,3
67,Zhou 2016,67,MDM,EEGNet_8_2,0.875,-2.585134972139592,3
68,Zhou 2016,68,ACM+MDM(MDOP),EEGNet_8_2,0.875,-0.7760938467133934,3
69,Zhou 2016,69,ACM+TGSP+SVM(MDOP),EEGNet_8_2,0.875,-0.8692878279403989,3
70,Zhou 2016,70,ShallowConvNet,EEGNet_8_2,0.625,-0.22960325435774692,3
71,Zhou 2016,71,TANG+SVM,EEGNet_8_2,0.875,-1.5279049750487592,3
72,Zhou 2016,72,ACM+MDM(Grid),FgMDM,0.25,0.6902641525475132,3
73,Zhou 2016,73,ACM+TGSP+SVM(Grid),FgMDM,0.25,1.0465975921520319,3
74,Zhou 2016,74,CSP+LDA,FgMDM,0.125,1.6230513121598664,3
75,Zhou 2016,75,Cov+EN,FgMDM,0.125,1.5081993651488836,3
76,Zhou 2016,76,DeepConvNet,FgMDM,0.125,1.1590653001644107,3
77,Zhou 2016,77,EEGNet_8_2,FgMDM,0.125,1.280324953343455,3
78,Zhou 2016,78,FgMDM,FgMDM,0.125,0.0,3
79,Zhou 2016,79,MDM,FgMDM,0.375,0.45543538864879657,3
80,Zhou 2016,80,ACM+MDM(MDOP),FgMDM,0.25,0.7354001094029279,3
