,pipeline,score,std
0,ACM+MDM(Grid),0.8162472435555556,0.1601683098436928
1,ACM+TGSP+SVM(Grid),0.8212952337777777,0.15969062170121692
2,CSP+LDA,0.7929237926666667,0.1573688133562799
3,Cov+EN,0.7974824066666667,0.1566492954971173
4,DeepConvNet,0.7223964608888889,0.18916087119916783
5,EEGNet_8_2,0.6945003853333334,0.20099642702018594
6,FgMDM,0.7925825166666667,0.15495178880246296
7,MDM,0.77609816,0.16063087052601896
8,ACM+MDM(MDOP),0.8063969173333334,0.15714341715414373
9,ACM+TGSP+SVM(MDOP),0.820636976,0.15210820977363226
10,ShallowConvNet,0.7215069097777778,0.18183742797009855
11,TANG+SVM,0.7936626828888889,0.15393609725604948
