,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.725,0.7122222,0.7083333,0.7010053,22.364891,120.0,0.17937285,1,session_0,3,5,004-2014,EEGNet_8_2
1,0.5625,0.5433966,0.5416667,0.5398176,19.939678,120.0,0.15702768,1,session_1,3,5,004-2014,EEGNet_8_2
2,0.78828126,0.76508796,0.73125,0.7227083,21.634634,160.0,0.16911545,1,session_2,3,5,004-2014,EEGNet_8_2
3,0.6609375,0.54608047,0.59375,0.5574727,30.399912,160.0,0.2972428,1,session_3,3,5,004-2014,EEGNet_8_2
4,0.58984375,0.5216092,0.53125,0.48396772,13.557234,160.0,0.13131733,1,session_4,3,5,004-2014,EEGNet_8_2
5,0.7875,0.729258,0.6666667,0.6364283,24.406734,120.0,0.20606013,1,session_0,3,5,004-2014,DeepConvNet
6,0.6263889,0.46,0.53333336,0.43333334,20.871393,120.0,0.17649502,1,session_1,3,5,004-2014,DeepConvNet
7,0.8460938,0.7767337,0.7,0.66762656,29.043587,160.0,0.24218747,1,session_2,3,5,004-2014,DeepConvNet
8,0.75390625,0.6903139,0.64375,0.61871576,39.788822,160.0,0.34692433,1,session_3,3,5,004-2014,DeepConvNet
9,0.75,0.55411255,0.575,0.4730707,28.796978,160.0,0.28671604,1,session_4,3,5,004-2014,DeepConvNet
10,0.80833334,0.7396279,0.73333335,0.730905,16.75324,120.0,0.1380389,1,session_0,3,5,004-2014,ShallowConvNet
11,0.69861114,0.6244476,0.6,0.58942676,16.451256,120.0,0.13494712,1,session_1,3,5,004-2014,ShallowConvNet
12,0.82734376,0.72752565,0.725,0.72425276,16.27209,160.0,0.13258898,1,session_2,3,5,004-2014,ShallowConvNet
13,0.809375,0.7279966,0.7125,0.7089459,20.701454,160.0,0.17318416,1,session_3,3,5,004-2014,ShallowConvNet
14,0.721875,0.6388102,0.6375,0.6368354,23.88705,160.0,0.23716384,1,session_4,3,5,004-2014,ShallowConvNet
