,pipeline,score,std
0,ACM+MDM(Grid),0.9570521605555555,0.047843987731496694
1,ACM+TGSP+SVM(Grid),0.9742592627777777,0.03227126162309262
2,CSP+LDA,0.9184126966666667,0.10328402857234678
3,Cov+EN,0.9501927483333333,0.06665948499943178
4,DeepConvNet,0.8817649272222222,0.1290706501579391
5,EEGNet_8_2,0.8849697627777778,0.15363418672191384
6,FgMDM,0.9405857922222223,0.08121537711044399
7,MDM,0.9122978005555554,0.09960347960589917
8,ACM+MDM(MDOP),0.9317422516666666,0.07814611159825136
9,ACM+TGSP+SVM(MDOP),0.9428647055555555,0.07527976068523372
10,ShallowConvNet,0.9214172366666666,0.09620809064826309
11,TANG+SVM,0.9458427761111111,0.07150647275615603
