,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.71805555,0.7018038,0.68333334,0.6765124,10.386492,120.0,0.12288389,9,session_0,3,5,004-2014,ACM+MDM(Grid)
1,0.56527776,0.5449194,0.5416667,0.5355169,10.465119,120.0,0.12441089,9,session_1,3,5,004-2014,ACM+MDM(Grid)
2,0.93125,0.8573809,0.84375,0.8424731,12.946043,160.0,0.15421095,9,session_2,3,5,004-2014,ACM+MDM(Grid)
3,0.95390624,0.8971231,0.89375,0.89330095,13.132731,160.0,0.15636282,9,session_3,3,5,004-2014,ACM+MDM(Grid)
4,0.9234375,0.88215685,0.88125,0.8811828,13.231088,160.0,0.15760277,9,session_4,3,5,004-2014,ACM+MDM(Grid)
5,0.7222222,0.6641803,0.65,0.64382887,0.32209414,120.0,0.0034896394,9,session_0,3,5,004-2014,Cov+EN
6,0.64166665,0.58662325,0.5833333,0.57878417,0.3218369,120.0,0.0035537246,9,session_1,3,5,004-2014,Cov+EN
7,0.91328126,0.82581544,0.81875,0.8178221,0.36491483,160.0,0.0039950106,9,session_2,3,5,004-2014,Cov+EN
8,0.94453126,0.8766293,0.875,0.8748163,0.34738842,160.0,0.0038003188,9,session_3,3,5,004-2014,Cov+EN
9,0.9117187,0.8330999,0.83125,0.8310235,0.32691914,160.0,0.0035909722,9,session_4,3,5,004-2014,Cov+EN
10,0.73194444,0.6725598,0.6666667,0.66290146,0.74803716,120.0,0.009073097,9,session_0,3,5,004-2014,CSP+LDA
11,0.5541667,0.52503717,0.525,0.5216795,0.2705787,120.0,0.00300421,9,session_1,3,5,004-2014,CSP+LDA
12,0.90703124,0.8203395,0.8125,0.81115425,0.36230984,160.0,0.0039861444,9,session_2,3,5,004-2014,CSP+LDA
13,0.95,0.8865915,0.88125,0.8808877,0.44854778,160.0,0.004975624,9,session_3,3,5,004-2014,CSP+LDA
14,0.9242188,0.85834736,0.85625,0.85608476,0.44431704,160.0,0.0049224347,9,session_4,3,5,004-2014,CSP+LDA
15,0.70694447,0.6473955,0.64166665,0.6345451,49.368954,120.0,0.5910059,9,session_0,3,5,004-2014,ACM+TGSP+SVM(Grid)
16,0.64444447,0.6211111,0.6166667,0.61385095,48.535866,120.0,0.58241534,9,session_1,3,5,004-2014,ACM+TGSP+SVM(Grid)
17,0.903125,0.8276237,0.825,0.82466936,61.823822,160.0,0.74576175,9,session_2,3,5,004-2014,ACM+TGSP+SVM(Grid)
18,0.9484375,0.88409895,0.88125,0.8810724,61.683983,160.0,0.74405855,9,session_3,3,5,004-2014,ACM+TGSP+SVM(Grid)
19,0.9351562,0.88259906,0.875,0.87406164,61.065304,160.0,0.7361482,9,session_4,3,5,004-2014,ACM+TGSP+SVM(Grid)
20,0.6958333,0.6180741,0.6166667,0.61385524,0.10401459,120.0,0.0013470242,9,session_0,3,5,004-2014,FgMDM
21,0.6111111,0.58650666,0.5833333,0.5787552,0.10463329,120.0,0.0013381743,9,session_1,3,5,004-2014,FgMDM
22,0.89453125,0.79880476,0.79375,0.7927225,0.13183585,160.0,0.0015338723,9,session_2,3,5,004-2014,FgMDM
23,0.95234376,0.8597988,0.85625,0.8560349,0.13062248,160.0,0.0014786081,9,session_3,3,5,004-2014,FgMDM
24,0.9195312,0.8502101,0.84375,0.8432246,0.13031825,160.0,0.0014690299,9,session_4,3,5,004-2014,FgMDM
25,0.68333334,0.68005925,0.6666667,0.66069275,0.03577013,120.0,0.00033749008,9,session_0,3,5,004-2014,MDM
26,0.53055555,0.50974584,0.5083333,0.50392383,0.032935716,120.0,0.00030504278,9,session_1,3,5,004-2014,MDM
27,0.88125,0.8161531,0.80625,0.80457324,0.12565431,160.0,0.0013416235,9,session_2,3,5,004-2014,MDM
28,0.91484374,0.8287011,0.825,0.8243366,0.1079432,160.0,0.0011691838,9,session_3,3,5,004-2014,MDM
29,0.8515625,0.7426144,0.7375,0.73616743,0.10381565,160.0,0.0011370472,9,session_4,3,5,004-2014,MDM
30,0.71805555,0.6815873,0.6666667,0.6603574,0.3409323,120.0,0.0037233988,9,session_0,3,5,004-2014,TANG+SVM
31,0.6111111,0.6055345,0.6,0.5956864,0.36144796,120.0,0.003939677,9,session_1,3,5,004-2014,TANG+SVM
32,0.89140624,0.80285066,0.79375,0.7921015,0.38723594,160.0,0.0042571733,9,session_2,3,5,004-2014,TANG+SVM
33,0.94453126,0.86631835,0.8625,0.8622543,0.38638845,160.0,0.004248734,9,session_3,3,5,004-2014,TANG+SVM
34,0.9117187,0.83205885,0.83125,0.83115834,0.3793725,160.0,0.0041955104,9,session_4,3,5,004-2014,TANG+SVM
