,pipeline,score,std
0,ACM+MDM(Grid),0.8923128866666666,0.1245970032575586
1,ACM+TGSP+SVM(Grid),0.9058963422222222,0.10166573293925947
2,CSP+LDA,0.8410065122222222,0.148715641003648
3,Cov+EN,0.8642618388888889,0.13430584563527767
4,DeepConvNet,0.7877550583333333,0.18623270366933284
5,EEGNet_8_2,0.7531292905555556,0.20603909619364552
6,FgMDM,0.8499657094444444,0.13848684652735013
7,MDM,0.8260245205555555,0.15177992689617262
8,ACM+MDM(MDOP),0.8594500205555556,0.13014257243125918
9,ACM+TGSP+SVM(MDOP),0.8725780183333334,0.12218652985331059
10,ShallowConvNet,0.8679698161111111,0.1243149090824121
11,TANG+SVM,0.8558384805555556,0.13635202029596752
