,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.8514799,0.8584955,0.8530159,0.8507267,186.9851,216.0,27.24591,9,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,0.680444,0.69592124,0.68095237,0.67828184,186.67206,216.0,14.823351,9,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,0.89323467,0.89863914,0.8946032,0.8936709,194.3318,216.0,27.7976,9,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,0.76828754,0.78803444,0.76920635,0.7649442,192.12285,216.0,12.114344,9,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
