,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.85210884,0.75132084,0.7495238,0.7493695,126.93842,144.0,5.0445657,6,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,0.8193197,0.7503187,0.73333335,0.7315126,126.95554,144.0,1.071684,6,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,0.86530614,0.7802631,0.7771429,0.77678543,134.00641,144.0,9.223346,6,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,0.8394558,0.78613514,0.76857144,0.76753575,125.54415,144.0,1.0896509,6,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
