,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.8676,0.79971063,0.79,0.78828514,140.742,400.0,0.9139216,10,session_A,13,2,001-2015,ACM+MDM(Grid)
1,0.8512,0.7415459,0.74,0.7395833,278.54663,400.0,1.8095515,10,session_B,13,2,001-2015,ACM+MDM(Grid)
2,0.7733,0.71763337,0.715,0.7141352,413.98325,400.0,2.6929073,10,session_C,13,2,001-2015,ACM+MDM(Grid)
3,0.8369,0.75490195,0.63,0.57834756,1.0916386,400.0,0.0045169084,10,session_A,13,2,001-2015,Cov+EN
4,0.792,0.7024292,0.665,0.64876413,2.1863825,400.0,0.009097804,10,session_B,13,2,001-2015,Cov+EN
5,0.7435,0.65043056,0.645,0.64176697,3.309936,400.0,0.01377016,10,session_C,13,2,001-2015,Cov+EN
6,0.7984,0.7087912,0.69,0.6828644,2.9373434,400.0,0.0135123655,10,session_A,13,2,001-2015,CSP+LDA
7,0.7006,0.66276044,0.65,0.64300287,4.003737,400.0,0.018002346,10,session_B,13,2,001-2015,CSP+LDA
8,0.7028,0.6651486,0.665,0.6649246,4.7730584,400.0,0.021159016,10,session_C,13,2,001-2015,CSP+LDA
9,0.8656,0.7760398,0.725,0.71167207,680.14185,400.0,3.7037804,10,session_A,13,2,001-2015,ACM+TGSP+SVM(Grid)
10,0.889,0.8038194,0.78,0.7756018,1370.6456,400.0,7.8150864,10,session_B,13,2,001-2015,ACM+TGSP+SVM(Grid)
11,0.8769,0.8050305,0.805,0.8049951,2090.8665,400.0,12.618746,10,session_C,13,2,001-2015,ACM+TGSP+SVM(Grid)
12,0.8147,0.7136752,0.57,0.48311096,0.82517266,400.0,0.004859143,10,session_A,13,2,001-2015,FgMDM
13,0.7728,0.68083185,0.62,0.58510756,1.4803636,400.0,0.008769789,10,session_B,13,2,001-2015,FgMDM
14,0.7116,0.6461841,0.645,0.64427966,2.069595,400.0,0.012325288,10,session_C,13,2,001-2015,FgMDM
15,0.7667,0.69459844,0.665,0.6517581,0.6202898,400.0,0.003465782,10,session_A,13,2,001-2015,MDM
16,0.7588,0.71075875,0.71,0.7097388,1.2026534,400.0,0.0065431814,10,session_B,13,2,001-2015,MDM
17,0.6616,0.6002477,0.585,0.5685959,1.597147,400.0,0.008668944,10,session_C,13,2,001-2015,MDM
18,0.8318,0.7377665,0.655,0.62211454,1.1224856,400.0,0.004507504,10,session_A,13,2,001-2015,TANG+SVM
19,0.8034,0.7295956,0.655,0.62450004,2.1016102,400.0,0.008452123,10,session_B,13,2,001-2015,TANG+SVM
20,0.7465,0.6529988,0.65,0.64827657,3.178302,400.0,0.012692486,10,session_C,13,2,001-2015,TANG+SVM
