,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.789,0.6915709,0.595,0.5366,272.69342,200.0,0.42698157,6,session_A,13,2,001-2015,ACM+MDM(MDOP)
1,0.7223,0.7216312,0.55,0.4419643,539.71313,200.0,0.9372826,6,session_B,13,2,001-2015,ACM+MDM(MDOP)
2,0.7901,0.72321427,0.62,0.57033014,293.14053,200.0,4.480682,6,session_A,13,2,001-2015,ACM+TGSP+SVM(MDOP)
3,0.8356,0.7333579,0.595,0.5245223,566.7646,200.0,5.001986,6,session_B,13,2,001-2015,ACM+TGSP+SVM(MDOP)
