,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.96408165,0.9405815,0.93714285,0.9372333,125.46685,144.0,1.1265156,4,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,0.87537414,0.8226441,0.81904763,0.81774724,126.08463,144.0,1.0511857,4,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,0.9823809,0.9559106,0.95047617,0.95060456,131.10326,144.0,1.0702534,4,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,0.8882313,0.80036783,0.7923809,0.7887225,127.03357,144.0,1.132936,4,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
