,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.988,0.94,0.94,0.94,52.45975,200.0,0.29414853,5,session_A,13,2,001-2015,EEGNet_8_2
1,0.9814,0.9206731,0.92,0.919968,102.5135,200.0,0.5677098,5,session_B,13,2,001-2015,EEGNet_8_2
2,0.9708,0.78409094,0.62,0.55586725,29.110865,200.0,0.17706257,5,session_A,13,2,001-2015,DeepConvNet
3,0.9564,0.7512563,0.505,0.34434915,56.83444,200.0,0.34381315,5,session_B,13,2,001-2015,DeepConvNet
4,0.9872,0.9315536,0.93,0.92993695,139.11983,200.0,0.87886316,5,session_A,13,2,001-2015,ShallowConvNet
5,0.9765,0.9227053,0.92,0.9198718,275.1372,200.0,1.7412242,5,session_B,13,2,001-2015,ShallowConvNet
