,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.989,0.9722944,0.97,0.96994364,97.20649,200.0,1.2295837,2,session_A,13,2,001-2015,ACM+MDM(Grid)
1,0.984,0.96743274,0.965,0.9649089,93.52116,200.0,1.1974914,2,session_B,13,2,001-2015,ACM+MDM(Grid)
2,0.9905,0.9632035,0.96,0.95991856,0.60114795,200.0,0.0067797923,2,session_A,13,2,001-2015,Cov+EN
3,0.986,0.9609273,0.96,0.95998126,0.6282978,200.0,0.007216524,2,session_B,13,2,001-2015,Cov+EN
4,0.9905,0.9499316,0.945,0.9447573,1.0954819,200.0,0.013051079,2,session_A,13,2,001-2015,CSP+LDA
5,0.975,0.9621946,0.96,0.959912,0.7806205,200.0,0.008904083,2,session_B,13,2,001-2015,CSP+LDA
6,0.9975,0.9731037,0.97,0.96988696,491.41165,200.0,6.406474,2,session_A,13,2,001-2015,ACM+TGSP+SVM(Grid)
7,0.9945,0.96743274,0.965,0.9649089,491.2717,200.0,6.4181585,2,session_B,13,2,001-2015,ACM+TGSP+SVM(Grid)
8,0.989,0.9599567,0.955,0.95476353,0.23755474,200.0,0.002997296,2,session_A,13,2,001-2015,FgMDM
9,0.98,0.96743274,0.965,0.9649089,0.21100731,200.0,0.0026779128,2,session_B,13,2,001-2015,FgMDM
10,0.9835,0.9535548,0.95,0.94987446,0.17427993,200.0,0.0017571973,2,session_A,13,2,001-2015,MDM
11,0.979,0.9621946,0.96,0.959912,0.16906114,200.0,0.001606455,2,session_B,13,2,001-2015,MDM
12,0.991,0.96753246,0.965,0.9649405,0.690123,200.0,0.007832613,2,session_A,13,2,001-2015,TANG+SVM
13,0.986,0.9704762,0.97,0.96999377,0.6769046,200.0,0.007731951,2,session_B,13,2,001-2015,TANG+SVM
