,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,1.0,1.0,1.0,1.0,128.77246,144.0,0.9522934,7,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,0.99714285,0.9741667,0.97333336,0.9723974,123.14774,144.0,0.96867096,7,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,1.0,1.0,1.0,1.0,134.0779,144.0,1.1009321,7,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,0.99904764,0.9741667,0.97333336,0.9723974,123.74942,144.0,0.98297286,7,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
