,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.9604,0.8251135,0.765,0.7536107,232.26527,400.0,0.58930176,11,session_A,13,2,001-2015,ACM+MDM(Grid)
1,0.8721,0.7762431,0.595,0.5155358,462.31586,400.0,1.1722531,11,session_B,13,2,001-2015,ACM+MDM(Grid)
2,0.9448,0.8753754,0.85,0.8474214,697.3035,400.0,1.7668394,11,session_C,13,2,001-2015,ACM+MDM(Grid)
3,0.9654,0.9,0.9,0.9,1.3961754,400.0,0.0030884813,11,session_A,13,2,001-2015,Cov+EN
4,0.891,0.7917301,0.73,0.7149192,2.83055,400.0,0.006246473,11,session_B,13,2,001-2015,Cov+EN
5,0.9353,0.8682955,0.855,0.8536795,4.2301025,400.0,0.009371887,11,session_C,13,2,001-2015,Cov+EN
6,0.9534,0.8484899,0.815,0.81044596,4.1523333,400.0,0.010222006,11,session_A,13,2,001-2015,CSP+LDA
7,0.6976,0.75252527,0.51,0.35517833,5.715036,400.0,0.013700152,11,session_B,13,2,001-2015,CSP+LDA
8,0.8168,0.6978022,0.68,0.67263424,6.8543577,400.0,0.016177423,11,session_C,13,2,001-2015,CSP+LDA
9,0.9635,0.8758624,0.865,0.86401755,1202.004,400.0,3.1276288,11,session_A,13,2,001-2015,ACM+TGSP+SVM(Grid)
10,0.8683,0.75906736,0.535,0.40671748,2353.2903,400.0,6.1314487,11,session_B,13,2,001-2015,ACM+TGSP+SVM(Grid)
11,0.9544,0.90179026,0.895,0.8945545,3587.9194,400.0,9.349999,11,session_C,13,2,001-2015,ACM+TGSP+SVM(Grid)
12,0.9395,0.8750375,0.875,0.8749969,1.0237565,400.0,0.0023540712,11,session_A,13,2,001-2015,FgMDM
13,0.8744,0.8038194,0.78,0.7756018,1.9116817,400.0,0.004371562,11,session_B,13,2,001-2015,FgMDM
14,0.9203,0.85484225,0.825,0.8212416,2.8206477,400.0,0.0064334716,11,session_C,13,2,001-2015,FgMDM
15,0.9442,0.8092512,0.735,0.7180776,0.6377132,400.0,0.0014033819,11,session_A,13,2,001-2015,MDM
16,0.7743,0.7631579,0.55,0.4357367,1.2070625,400.0,0.0025251934,11,session_B,13,2,001-2015,MDM
17,0.8675,0.8255208,0.8,0.7960016,1.7630668,400.0,0.003611983,11,session_C,13,2,001-2015,MDM
18,0.9606,0.8795931,0.875,0.87462074,1.4558699,400.0,0.003155032,11,session_A,13,2,001-2015,TANG+SVM
19,0.7579,0.7631579,0.55,0.4357367,2.8109941,400.0,0.006054894,11,session_B,13,2,001-2015,TANG+SVM
20,0.947,0.8505555,0.825,0.8217514,4.334996,400.0,0.009282425,11,session_C,13,2,001-2015,TANG+SVM
