,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.95244896,0.87511903,0.86142856,0.8584792,102.821106,144.0,0.8412666,1,session_E,22,2,001-2014,EEGNet_8_2
1,0.9269388,0.81634235,0.7985714,0.794031,105.31264,144.0,1.0462809,1,session_T,22,2,001-2014,EEGNet_8_2
2,0.9372789,0.58777475,0.60714287,0.51391333,54.5844,144.0,0.44490838,1,session_E,22,2,001-2014,DeepConvNet
3,0.9460544,0.7150995,0.68761903,0.62727684,88.16,144.0,0.94077045,1,session_T,22,2,001-2014,DeepConvNet
4,0.9610884,0.87827903,0.8542857,0.85136324,95.24053,144.0,0.78711426,1,session_E,22,2,001-2014,ShallowConvNet
5,0.94061226,0.8397303,0.8242857,0.8224045,116.18704,144.0,1.1362525,1,session_T,22,2,001-2014,ShallowConvNet
