,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.9980952,0.9683333,0.96666664,0.9654844,153.38083,144.0,3.001706,3,session_E,22,2,001-2014,ACM+MDM(Grid)
1,0.9942177,0.96061623,0.95809525,0.9579789,150.60597,144.0,2.964566,3,session_T,22,2,001-2014,ACM+MDM(Grid)
2,0.99714285,0.9683333,0.96666664,0.9654844,0.42085996,144.0,0.0066451426,3,session_E,22,2,001-2014,Cov+EN
3,0.9942857,0.97375,0.9728571,0.9723808,0.39787745,144.0,0.006292581,3,session_T,22,2,001-2014,Cov+EN
4,0.99523807,0.9657143,0.9657143,0.9654844,0.59290075,144.0,0.009048114,3,session_E,22,2,001-2014,CSP+LDA
5,0.99523807,0.974902,0.97238094,0.9722646,0.39499965,144.0,0.006016795,3,session_T,22,2,001-2014,CSP+LDA
6,0.99904764,0.98,0.98,0.97931033,882.90106,144.0,17.743893,3,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
7,0.99326533,0.97375,0.97238094,0.9721254,881.7721,144.0,17.72685,3,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
8,0.99714285,0.9683333,0.96619046,0.965229,0.14854845,144.0,0.002361844,3,session_E,22,2,001-2014,FgMDM
9,0.99904764,0.96708333,0.9657143,0.96522886,0.12216969,144.0,0.0019618617,3,session_T,22,2,001-2014,FgMDM
10,0.99523807,0.96318626,0.96,0.9585054,0.06292729,144.0,0.00078987813,3,session_E,22,2,001-2014,MDM
11,0.99333334,0.9682353,0.9652381,0.9651126,0.05919056,144.0,0.0007521545,3,session_T,22,2,001-2014,MDM
12,0.99523807,0.9741667,0.97333336,0.9723974,0.42839485,144.0,0.0067007537,3,session_E,22,2,001-2014,TANG+SVM
13,0.99523807,0.98041666,0.97952384,0.9792774,0.42773134,144.0,0.0066415775,3,session_T,22,2,001-2014,TANG+SVM
