,pipeline,score,std
0,ACM+MDM(Grid),0.9402756322222222,0.06339005714187561
1,ACM+TGSP+SVM(Grid),0.9620198883333333,0.04644776251180666
2,CSP+LDA,0.8889639183333333,0.1372043556454609
3,Cov+EN,0.9347350811111111,0.07243032938372086
4,DeepConvNet,0.8726905422222222,0.14571080228402364
5,EEGNet_8_2,0.8683449111111111,0.15784986776793622
6,FgMDM,0.930309071111111,0.07470981460284139
7,MDM,0.8968407127777778,0.11477751640306977
8,ACM+MDM(MDOP),0.9153913800000001,0.09417541581948817
9,ACM+TGSP+SVM(MDOP),0.9270404677777778,0.08625930817315318
10,ShallowConvNet,0.9019204394444444,0.12427661110433036
11,TANG+SVM,0.9346386383333333,0.0708389486659591
