,Unnamed: 0,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
12,12,0.998071,0.9285714,0.9166667,0.91608393,0.6230695,144.0,0.0025604132,3,session_E,22,2,001-2014,TANG+SVM
13,13,0.9868827,0.88973534,0.875,0.8738072,1.2109554,144.0,0.004919677,3,session_T,22,2,001-2014,TANG+SVM
0,0,0.9918981,0.94582045,0.9444444,0.94440156,182.87576,144.0,0.7249012,4,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,0.8466435,0.803351,0.7986111,0.79782134,385.34842,144.0,1.5216875,4,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,0.99286264,0.9318885,0.9305556,0.93050194,0.83921957,144.0,0.0025632053,4,session_E,22,2,001-2014,Cov+EN
3,3,0.8489583,0.7831216,0.7708333,0.7683194,1.5745697,144.0,0.0048302496,4,session_T,22,2,001-2014,Cov+EN
4,4,0.9810957,0.86574745,0.8402778,0.8374479,2.0967302,144.0,0.0069431188,4,session_E,22,2,001-2014,CSP+LDA
5,5,0.77179784,0.6838611,0.6736111,0.6689979,2.5362053,144.0,0.008225292,4,session_T,22,2,001-2014,CSP+LDA
6,6,0.99402004,0.96536756,0.9652778,0.9652761,1068.2472,144.0,4.345578,4,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
7,7,0.8777006,0.8130435,0.8125,0.8124186,2165.6833,144.0,6.799996,4,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
8,8,0.9918981,0.9044944,0.8819444,0.88027585,0.68137693,144.0,0.0022464183,4,session_E,22,2,001-2014,FgMDM
9,9,0.8813657,0.7618182,0.7222222,0.7113071,1.2846789,144.0,0.0042788503,4,session_T,22,2,001-2014,FgMDM
10,10,0.98051697,0.93826085,0.9375,0.9374729,0.399956,144.0,0.0012490822,4,session_E,22,2,001-2014,MDM
11,11,0.73051697,0.6635394,0.6597222,0.657725,0.7399113,144.0,0.002247446,4,session_T,22,2,001-2014,MDM
12,12,0.9774306,0.91698843,0.9166667,0.9166506,0.8202274,144.0,0.0024228229,4,session_E,22,2,001-2014,TANG+SVM
13,13,0.91222996,0.8142857,0.8055556,0.8041958,1.5908554,144.0,0.0046753665,4,session_T,22,2,001-2014,TANG+SVM
0,0,0.9523534,0.80007577,0.7291667,0.7121624,187.69923,144.0,0.7278723,5,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,0.900463,0.8333333,0.75,0.73333335,389.36017,144.0,1.5019004,5,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,0.81790125,0.75077397,0.75,0.74980694,0.8495631,144.0,0.0024553551,5,session_E,22,2,001-2014,Cov+EN
3,3,0.78742284,0.7592593,0.6944444,0.67407405,1.6210611,144.0,0.004730311,5,session_T,22,2,001-2014,Cov+EN
4,4,0.5920139,0.5555556,0.5416667,0.51111114,2.2208643,144.0,0.007060432,5,session_E,22,2,001-2014,CSP+LDA
5,5,0.6018519,0.68118465,0.5902778,0.53151363,2.658254,144.0,0.008278915,5,session_T,22,2,001-2014,CSP+LDA
6,6,0.95987654,0.8944805,0.875,0.8734375,1080.4808,144.0,4.3029137,5,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
7,7,0.9583333,0.85294116,0.7916667,0.78221416,2146.9934,144.0,6.5581703,5,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
8,8,0.8049769,0.7309543,0.7222222,0.7195716,0.65860415,144.0,0.0021205049,5,session_E,22,2,001-2014,FgMDM
9,9,0.7743056,0.7447905,0.7152778,0.7064293,1.2833982,144.0,0.0041236053,5,session_T,22,2,001-2014,FgMDM
10,10,0.75733024,0.6567489,0.6458333,0.63955826,0.38267326,144.0,0.0011567571,5,session_E,22,2,001-2014,MDM
11,11,0.66358024,0.65749484,0.6319444,0.61638606,0.7471149,144.0,0.0021855251,5,session_T,22,2,001-2014,MDM
12,12,0.80362654,0.75520945,0.7291667,0.72207654,0.8077655,144.0,0.0023033938,5,session_E,22,2,001-2014,TANG+SVM
13,13,0.7771991,0.6818182,0.5555556,0.46218488,1.6217885,144.0,0.004629498,5,session_T,22,2,001-2014,TANG+SVM
0,0,0.8443287,0.7483766,0.7361111,0.7328125,149.19675,144.0,0.9867563,6,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,0.83256173,0.75024825,0.6944444,0.6764045,271.69043,144.0,1.7998323,6,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,0.86593366,0.770903,0.75,0.7450826,0.7258575,144.0,0.0030926561,6,session_E,22,2,001-2014,Cov+EN
3,3,0.8759645,0.79012203,0.7430556,0.732194,1.3844883,144.0,0.0059500346,6,session_T,22,2,001-2014,Cov+EN
4,4,0.7783565,0.7352941,0.6944444,0.68058074,2.2662494,144.0,0.013165678,6,session_E,22,2,001-2014,CSP+LDA
5,5,0.74170524,0.7290909,0.6944444,0.68243784,2.9398355,144.0,0.01657637,6,session_T,22,2,001-2014,CSP+LDA
6,6,0.93094134,0.83418924,0.8263889,0.8253699,596.0733,144.0,3.9230187,6,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
7,7,0.90200615,0.8079623,0.7708333,0.7637114,1186.1442,144.0,7.8866463,6,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
8,8,0.8751929,0.7751323,0.7708333,0.76993465,0.59179926,144.0,0.0038484782,6,session_E,22,2,001-2014,FgMDM
9,9,0.8640046,0.7716493,0.6458333,0.5994546,2.1310377,144.0,0.012971465,6,session_T,22,2,001-2014,FgMDM
10,10,0.7629244,0.66049623,0.6597222,0.6593115,0.3483386,144.0,0.0022229908,6,session_E,22,2,001-2014,MDM
11,11,0.732446,0.6669691,0.6597222,0.65598947,0.65115666,144.0,0.0040642153,6,session_T,22,2,001-2014,MDM
12,12,0.86844134,0.75714284,0.75,0.74825174,0.65401864,144.0,0.0038365507,6,session_E,22,2,001-2014,TANG+SVM
13,13,0.8759645,0.82327884,0.7708333,0.761146,1.2650828,144.0,0.0073378417,6,session_T,22,2,001-2014,TANG+SVM
0,0,1.0,0.98,0.9791667,0.9791576,107.95344,144.0,0.69796264,7,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,0.99054784,0.91622573,0.9097222,0.9093682,212.12495,144.0,1.3870747,7,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,0.9988426,0.9736842,0.9722222,0.97220075,0.7039566,144.0,0.0043591484,7,session_E,22,2,001-2014,Cov+EN
3,3,0.99286264,0.9195141,0.9097222,0.9091923,1.3846958,144.0,0.00862002,7,session_T,22,2,001-2014,Cov+EN
4,4,0.9986497,0.93373495,0.9236111,0.92316276,2.2832556,144.0,0.015291967,7,session_E,22,2,001-2014,CSP+LDA
5,5,0.9930556,0.9583333,0.9583333,0.9583333,2.9064174,144.0,0.019266497,7,session_T,22,2,001-2014,CSP+LDA
6,6,1.0,0.9931507,0.9930556,0.9930552,583.1392,144.0,3.9138672,7,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
7,7,0.9990355,0.97258687,0.9722222,0.97221684,1247.6199,144.0,8.370884,7,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
8,8,0.9992284,0.97258687,0.9722222,0.97221684,0.59800386,144.0,0.0038456968,7,session_E,22,2,001-2014,FgMDM
9,9,0.98881173,0.89927405,0.8819444,0.8806494,1.1852684,144.0,0.00765454,7,session_T,22,2,001-2014,FgMDM
10,10,0.998071,0.9285714,0.9166667,0.91608393,0.3419013,144.0,0.002174201,7,session_E,22,2,001-2014,MDM
11,11,0.9834105,0.8553411,0.8125,0.806673,0.646569,144.0,0.004021287,7,session_T,22,2,001-2014,MDM
12,12,0.99691355,0.96153843,0.9583333,0.9582609,0.61284494,144.0,0.0037927274,7,session_E,22,2,001-2014,TANG+SVM
13,13,0.9953704,0.90909094,0.8888889,0.8875,1.2130399,144.0,0.007460848,7,session_T,22,2,001-2014,TANG+SVM
0,0,0.9855324,0.95357627,0.9513889,0.9513302,236.05284,144.0,2.7050695,8,session_E,22,2,001-2014,ACM+MDM(Grid)
1,1,0.97935957,0.9396201,0.9375,0.93742454,407.38263,144.0,4.6740327,8,session_T,22,2,001-2014,ACM+MDM(Grid)
2,2,0.96431327,0.9052933,0.8958333,0.89522195,1.0251422,144.0,0.012951385,8,session_E,22,2,001-2014,Cov+EN
3,3,0.9712577,0.86574745,0.8402778,0.8374479,1.8339868,144.0,0.023177074,8,session_T,22,2,001-2014,Cov+EN
4,4,0.92785496,0.84747475,0.7986111,0.79127306,3.723768,144.0,0.04762793,8,session_E,22,2,001-2014,CSP+LDA
5,5,0.96373457,0.8396226,0.7638889,0.7499489,4.6178713,144.0,0.059062347,8,session_T,22,2,001-2014,CSP+LDA
6,6,0.99054784,0.90909094,0.8888889,0.8875,638.2639,144.0,7.797394,8,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
7,7,0.9818673,0.91622573,0.9097222,0.9093682,1284.1273,144.0,15.3851595,8,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
8,8,0.97646606,0.9021164,0.8958333,0.89542484,1.2290735,144.0,0.014056447,8,session_E,22,2,001-2014,FgMDM
9,9,0.95852625,0.861204,0.8333333,0.83005506,2.4332223,144.0,0.027078746,8,session_T,22,2,001-2014,FgMDM
10,10,0.9646991,0.9142857,0.9027778,0.9020979,0.5834875,144.0,0.006151443,8,session_E,22,2,001-2014,MDM
