,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.89805555,0.79964745,0.78333336,0.7803436,16.424698,620.0,0.07419995,4,session_0,3,5,004-2014,EEGNet_8_2
1,0.9495918,0.88815653,0.87857145,0.87781715,45.665367,600.0,0.20724382,4,session_1,3,5,004-2014,EEGNet_8_2
2,0.9890625,0.94381934,0.94375,0.9437478,79.41368,580.0,0.3611115,4,session_2,3,5,004-2014,EEGNet_8_2
3,0.9659375,0.8885969,0.88125,0.88068604,95.37116,580.0,0.4330813,4,session_3,3,5,004-2014,EEGNet_8_2
4,0.9465625,0.89141417,0.8875,0.88721806,123.3957,580.0,0.567351,4,session_4,3,5,004-2014,EEGNet_8_2
5,0.93222225,0.8323837,0.7916667,0.7850849,65.313675,620.0,0.37367237,4,session_0,3,5,004-2014,DeepConvNet
6,0.9477551,0.8333333,0.75,0.73333335,97.94342,600.0,0.5537295,4,session_1,3,5,004-2014,DeepConvNet
7,0.98109376,0.92606515,0.925,0.9249531,129.0851,580.0,0.7131574,4,session_2,3,5,004-2014,DeepConvNet
8,0.9915625,0.9292929,0.925,0.924812,160.08733,580.0,0.86812,4,session_3,3,5,004-2014,DeepConvNet
9,0.95375,0.84023434,0.83125,0.8301286,217.92372,580.0,1.1589761,4,session_4,3,5,004-2014,DeepConvNet
10,0.8894445,0.812588,0.80833334,0.8076789,47.05372,620.0,0.27528232,4,session_0,3,5,004-2014,ShallowConvNet
11,0.93857145,0.88051283,0.87857145,0.87841636,95.01309,600.0,0.55571926,4,session_1,3,5,004-2014,ShallowConvNet
12,0.9825,0.92740417,0.925,0.9248944,148.1179,580.0,0.8682734,4,session_2,3,5,004-2014,ShallowConvNet
13,0.981875,0.9172685,0.90625,0.905627,190.90468,580.0,1.1222694,4,session_3,3,5,004-2014,ShallowConvNet
14,0.9451563,0.8428571,0.8375,0.83686274,228.07031,580.0,1.342745,4,session_4,3,5,004-2014,ShallowConvNet
