,dataset,index,pipe1,pipe2,p,smd,nsub
67,001-2015,67,MDM,EEGNet_8_2,0.982177734375,-0.6989212518411716,12
68,001-2015,68,ACM+MDM(MDOP),EEGNet_8_2,0.81591796875,-0.27554408344615433,12
69,001-2015,69,ACM+TGSP+SVM(MDOP),EEGNet_8_2,0.105224609375,0.3696340072885204,12
70,001-2015,70,ShallowConvNet,EEGNet_8_2,0.038818359375,0.5533237344373889,12
71,001-2015,71,TANG+SVM,EEGNet_8_2,0.358154296875,0.18676075353230748,12
72,001-2015,72,ACM+MDM(Grid),FgMDM,0.565673828125,-0.07123131171123112,12
73,001-2015,73,ACM+TGSP+SVM(Grid),FgMDM,0.001220703125,0.9990675539055563,12
74,001-2015,74,CSP+LDA,FgMDM,0.9775390625,-0.5672546403673075,12
75,001-2015,75,Cov+EN,FgMDM,0.006591796875,0.6756353241342864,12
76,001-2015,76,DeepConvNet,FgMDM,0.798583984375,-0.31582045666364233,12
77,001-2015,77,EEGNet_8_2,FgMDM,0.530517578125,-0.04669423993937706,12
78,001-2015,78,FgMDM,FgMDM,0.000244140625,0.0,12
79,001-2015,79,MDM,FgMDM,0.999755859375,-0.8968972278173929,12
80,001-2015,80,ACM+MDM(MDOP),FgMDM,0.9404296875,-0.48033128444087436,12
81,001-2015,81,ACM+TGSP+SVM(MDOP),FgMDM,0.017333984375,0.6939673026517795,12
82,001-2015,82,ShallowConvNet,FgMDM,0.110107421875,0.3783712752691331,12
83,001-2015,83,TANG+SVM,FgMDM,0.0400390625,0.5316586556966694,12
84,001-2015,84,ACM+MDM(Grid),MDM,0.000732421875,1.142431005444861,12
85,001-2015,85,ACM+TGSP+SVM(Grid),MDM,0.000244140625,1.140104561577905,12
86,001-2015,86,CSP+LDA,MDM,0.0107421875,0.8738842903686971,12
87,001-2015,87,Cov+EN,MDM,0.000244140625,1.0676656978790497,12
88,001-2015,88,DeepConvNet,MDM,0.208251953125,0.23702591099812273,12
89,001-2015,89,EEGNet_8_2,MDM,0.01806640625,0.6989212518411716,12
90,001-2015,90,FgMDM,MDM,0.000244140625,0.8968972278173929,12
91,001-2015,91,MDM,MDM,0.000244140625,0.0,12
92,001-2015,92,ACM+MDM(MDOP),MDM,0.001220703125,0.9334090311833733,12
93,001-2015,93,ACM+TGSP+SVM(MDOP),MDM,0.000244140625,1.1222196419152783,12
94,001-2015,94,ShallowConvNet,MDM,0.001953125,0.897464630667001,12
95,001-2015,95,TANG+SVM,MDM,0.000732421875,0.9491007568715955,12
96,001-2015,96,ACM+MDM(Grid),ACM+MDM(MDOP),0.008544921875,0.758093640341639,12
97,001-2015,97,ACM+TGSP+SVM(Grid),ACM+MDM(MDOP),0.001708984375,0.9937126786208257,12
98,001-2015,98,CSP+LDA,ACM+MDM(MDOP),0.4853515625,0.0117380382140289,12
99,001-2015,99,Cov+EN,ACM+MDM(MDOP),0.010498046875,0.8303049519347283,12
100,001-2015,100,DeepConvNet,ACM+MDM(MDOP),0.6181640625,-0.10545812677235004,12
101,001-2015,101,EEGNet_8_2,ACM+MDM(MDOP),0.184326171875,0.27554408344615433,12
102,001-2015,102,FgMDM,ACM+MDM(MDOP),0.0595703125,0.48033128444087436,12
103,001-2015,103,MDM,ACM+MDM(MDOP),0.9990234375,-0.9334090311833733,12
104,001-2015,104,ACM+MDM(MDOP),ACM+MDM(MDOP),0.000244140625,0.0,12
105,001-2015,105,ACM+TGSP+SVM(MDOP),ACM+MDM(MDOP),0.000244140625,1.0460214962920358,12
106,001-2015,106,ShallowConvNet,ACM+MDM(MDOP),0.027099609375,0.6261231639903931,12
107,001-2015,107,TANG+SVM,ACM+MDM(MDOP),0.037109375,0.628245767714337,12
108,001-2015,108,ACM+MDM(Grid),ACM+TGSP+SVM(MDOP),0.998046875,-0.9878860348095885,12
109,001-2015,109,ACM+TGSP+SVM(Grid),ACM+TGSP+SVM(MDOP),0.025146484375,0.653041465378224,12
110,001-2015,110,CSP+LDA,ACM+TGSP+SVM(MDOP),0.999755859375,-1.1075048933925506,12
111,001-2015,111,Cov+EN,ACM+TGSP+SVM(MDOP),0.937744140625,-0.4683225459269165,12
112,001-2015,112,DeepConvNet,ACM+TGSP+SVM(MDOP),0.977294921875,-0.532675560051461,12
113,001-2015,113,EEGNet_8_2,ACM+TGSP+SVM(MDOP),0.894775390625,-0.3696340072885204,12
114,001-2015,114,FgMDM,ACM+TGSP+SVM(MDOP),0.982666015625,-0.6939673026517795,12
115,001-2015,115,MDM,ACM+TGSP+SVM(MDOP),0.999755859375,-1.1222196419152783,12
116,001-2015,116,ACM+MDM(MDOP),ACM+TGSP+SVM(MDOP),0.999755859375,-1.0460214962920358,12
117,001-2015,117,ACM+TGSP+SVM(MDOP),ACM+TGSP+SVM(MDOP),0.000244140625,0.0,12
