,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.65796876,0.5872727,0.575,0.55951416,17.824986,600.0,0.044460677,8,session_0,3,5,004-2014,ACM+MDM(Grid)
1,0.6813889,0.61679643,0.6166667,0.61656016,36.568542,640.0,0.091296196,8,session_1,3,5,004-2014,ACM+MDM(Grid)
2,0.9139063,0.7785425,0.76875,0.7666995,54.298046,600.0,0.13536663,8,session_2,3,5,004-2014,ACM+MDM(Grid)
3,0.9178125,0.79783547,0.76875,0.76296294,73.659096,600.0,0.18296967,8,session_3,3,5,004-2014,ACM+MDM(Grid)
4,0.9696875,0.9705882,0.96875,0.9687194,91.26294,600.0,0.22689222,8,session_4,3,5,004-2014,ACM+MDM(Grid)
5,0.63921875,0.58610696,0.58125,0.5752605,0.5353346,600.0,0.0011387464,8,session_0,3,5,004-2014,Cov+EN
6,0.72,0.6515151,0.65,0.64912283,1.0155809,640.0,0.0020804077,8,session_1,3,5,004-2014,Cov+EN
7,0.93359375,0.8692693,0.86875,0.86870384,1.5266187,600.0,0.003069447,8,session_2,3,5,004-2014,Cov+EN
8,0.9271875,0.85549706,0.8375,0.835417,1.9838789,600.0,0.003960749,8,session_3,3,5,004-2014,Cov+EN
9,0.9646875,0.9078431,0.90625,0.9061583,2.4820967,600.0,0.004924731,8,session_4,3,5,004-2014,Cov+EN
10,0.64796877,0.5842105,0.58125,0.57753694,3.4841564,600.0,0.008696851,8,session_0,3,5,004-2014,CSP+LDA
11,0.715,0.60011125,0.6,0.59988886,4.4894013,640.0,0.010884886,8,session_1,3,5,004-2014,CSP+LDA
12,0.9315625,0.85353535,0.85,0.84962404,5.0201855,600.0,0.011961402,8,session_2,3,5,004-2014,CSP+LDA
13,0.92859375,0.8510515,0.83125,0.8288363,5.5519414,600.0,0.0130334515,8,session_3,3,5,004-2014,CSP+LDA
14,0.96625,0.9078431,0.90625,0.9061583,6.0876107,600.0,0.014113701,8,session_4,3,5,004-2014,CSP+LDA
15,0.68796873,0.6082975,0.60625,0.6043801,102.75956,600.0,0.2576286,8,session_0,3,5,004-2014,ACM+TGSP+SVM(Grid)
16,0.76222223,0.66875,0.65,0.64,211.30055,640.0,0.5308743,8,session_1,3,5,004-2014,ACM+TGSP+SVM(Grid)
17,0.92265624,0.83130175,0.83125,0.8312434,311.54034,600.0,0.7842919,8,session_2,3,5,004-2014,ACM+TGSP+SVM(Grid)
18,0.95671874,0.87395227,0.8625,0.86143917,412.664,600.0,1.039719,8,session_3,3,5,004-2014,ACM+TGSP+SVM(Grid)
19,0.9384375,0.8786342,0.85,0.84710944,514.7314,600.0,1.2974226,8,session_4,3,5,004-2014,ACM+TGSP+SVM(Grid)
20,0.646875,0.5651042,0.5625,0.5580808,0.35421515,600.0,0.00084483746,8,session_0,3,5,004-2014,FgMDM
21,0.71555555,0.63468015,0.6333333,0.63241434,0.50544906,640.0,0.0011175874,8,session_1,3,5,004-2014,FgMDM
22,0.9290625,0.8701961,0.86875,0.8686217,0.66481113,600.0,0.0014032973,8,session_2,3,5,004-2014,FgMDM
23,0.9248437,0.85549706,0.8375,0.835417,0.8239484,600.0,0.0016888662,8,session_3,3,5,004-2014,FgMDM
24,0.96421874,0.90938437,0.90625,0.90607023,0.98198223,600.0,0.001969645,8,session_4,3,5,004-2014,FgMDM
25,0.6540625,0.60580146,0.59375,0.5818423,0.24081731,600.0,0.00058223703,8,session_0,3,5,004-2014,MDM
26,0.6697222,0.60836345,0.60833335,0.6083061,0.38088942,640.0,0.00083587,8,session_1,3,5,004-2014,MDM
27,0.90203124,0.78132993,0.775,0.77372724,0.53136754,600.0,0.0011070458,8,session_2,3,5,004-2014,MDM
28,0.91828126,0.8116883,0.78125,0.7757758,0.6785939,600.0,0.001370495,8,session_3,3,5,004-2014,MDM
29,0.96515626,0.9705882,0.96875,0.9687194,0.8251674,600.0,0.0016343526,8,session_4,3,5,004-2014,MDM
30,0.64625,0.63140094,0.60625,0.58646154,0.6173427,600.0,0.0013117938,8,session_0,3,5,004-2014,TANG+SVM
31,0.73638886,0.65,0.6333333,0.62285715,1.2082009,640.0,0.0024751427,8,session_1,3,5,004-2014,TANG+SVM
32,0.91546875,0.85087717,0.85,0.8499062,1.7569036,600.0,0.0035547928,8,session_2,3,5,004-2014,TANG+SVM
33,0.9273437,0.86825395,0.8625,0.86196077,2.3135517,600.0,0.00465711,8,session_3,3,5,004-2014,TANG+SVM
34,0.950625,0.93010753,0.91875,0.91821,2.8627694,600.0,0.005737011,8,session_4,3,5,004-2014,TANG+SVM
