,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.54765624,0.55073905,0.50625,0.47217906,58.056973,160.0,1.8581051,14,session_0,15,1,002-2014,ACM+MDM(Grid)
1,0.625,0.64048135,0.63125,0.6258504,0.43071532,160.0,0.012529207,14,session_0,15,1,002-2014,Cov+EN
2,0.5859375,0.5930422,0.59375,0.58252895,0.8219893,160.0,0.024024853,14,session_0,15,1,002-2014,CSP+LDA
3,0.628125,0.6505501,0.6375,0.6300233,321.2123,160.0,10.717316,14,session_0,15,1,002-2014,ACM+TGSP+SVM(Grid)
4,0.6273438,0.62055194,0.6125,0.6053129,0.16818795,160.0,0.0034609765,14,session_0,15,1,002-2014,FgMDM
5,0.534375,0.49649203,0.5,0.48046103,0.15682936,160.0,0.003135581,14,session_0,15,1,002-2014,MDM
6,0.6515625,0.66181153,0.65,0.63862044,0.46595436,160.0,0.013427763,14,session_0,15,1,002-2014,TANG+SVM
