,pipeline,score,std
0,ACM+MDM(Grid),0.8213169735714285,0.15097913116915382
1,ACM+TGSP+SVM(Grid),0.8851004492857143,0.11360156775080985
2,CSP+LDA,0.8464285735714286,0.12894820391308645
3,Cov+EN,0.862611605,0.11906897430769123
4,DeepConvNet,0.8756417364285715,0.11234166586597223
5,EEGNet_8_2,0.8431361557142857,0.16691605689973055
6,FgMDM,0.8536272342857144,0.11694670919780965
7,MDM,0.7731026828571429,0.15009346946851396
8,ACM+MDM(MDOP),0.7766462107142856,0.17311752184164828
9,ACM+TGSP+SVM(MDOP),0.8272321421428571,0.16013495556612012
10,ShallowConvNet,0.8746651828571429,0.12218422370751647
11,TANG+SVM,0.8637834821428572,0.11953247550169178
